Date,Company,Sector,Revenue,Expenses,Profit,Investment,ROI (%)
2021-01-01,Alpha Corp,Technology,148.29,88.5,59.79,134.82,44.35
2021-02-01,Alpha Corp,Technology,157.31,89.26,68.05,221.23,30.76
2021-03-01,Alpha Corp,Technology,160.51,89.27,71.24,237.38,30.01
2021-04-01,Alpha Corp,Technology,157.52,125.97,31.55,149.43,21.11
2021-05-01,Alpha Corp,Technology,151.58,97.2,54.37,176.94,30.73
2021-06-01,Alpha Corp,Technology,154.51,105.0,49.51,155.11,31.92
2021-07-01,Alpha Corp,Technology,153.59,97.94,55.66,162.26,34.3
2021-08-01,Alpha Corp,Technology,166.19,114.14,52.05,224.3,23.2
2021-09-01,Alpha Corp,Technology,167.54,121.93,45.62,139.48,32.71
2021-10-01,Alpha Corp,Technology,160.01,117.17,42.84,147.11,29.12
2021-11-01,Alpha Corp,Technology,169.18,127.77,41.4,187.46,22.09
2021-12-01,Alpha Corp,Technology,174.7,102.48,72.22,200.32,36.05
2022-01-01,Alpha Corp,Technology,186.07,119.74,66.33,216.6,30.62
2022-02-01,Alpha Corp,Technology,174.83,124.83,50.0,162.49,30.77
2022-03-01,Alpha Corp,Technology,192.41,110.93,81.47,180.32,45.18
2022-04-01,Alpha Corp,Technology,191.9,108.15,83.75,197.22,42.47
2022-05-01,Alpha Corp,Technology,183.69,146.69,36.99,192.82,19.18
2022-06-01,Alpha Corp,Technology,192.84,122.31,70.52,227.53,31.0
2022-07-01,Alpha Corp,Technology,204.11,116.83,87.28,304.29,28.68
2022-08-01,Alpha Corp,Technology,202.86,158.57,44.29,190.51,23.25
2022-09-01,Alpha Corp,Technology,216.95,169.52,47.43,184.81,25.66
2022-10-01,Alpha Corp,Technology,220.23,144.81,75.42,194.05,38.87
2022-11-01,Alpha Corp,Technology,219.99,142.84,77.16,185.78,41.53
2022-12-01,Alpha Corp,Technology,228.77,147.17,81.6,235.09,34.71
2023-01-01,Alpha Corp,Technology,231.83,189.21,42.62,262.09,16.26
2023-02-01,Alpha Corp,Technology,240.04,140.63,99.41,311.88,31.87
2023-03-01,Alpha Corp,Technology,237.28,185.39,51.9,271.85,19.09
2023-04-01,Alpha Corp,Technology,250.21,176.85,73.36,275.05,26.67
2023-05-01,Alpha Corp,Technology,244.35,157.44,86.91,282.47,30.77
2023-06-01,Alpha Corp,Technology,246.22,202.46,43.76,239.94,18.24
2023-07-01,Alpha Corp,Technology,263.72,163.15,100.57,225.18,44.66
